#{"t_start": 1686930215.388123, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
210214.439904,7797,7076.340134
212048.996272,7797,7123.75729
204797.585996,7797,7171.173345
224347.498966,7797,7218.600342
206309.799933,7797,7266.01303
223755.370933,7797,7310.536609
208063.712478,7797,7358.057958
211249.201588,7797,7405.509195
220900.767646,7797,7453.004648
244858.352576,7797,7500.527614
225105.134858,7797,7545.055873
220676.16236,7797,7592.653169
206622.026045,7797,7640.165828
207302.057704,7797,7687.625458
228831.737923,7797,7735.09472
215632.042929,7797,7779.818729
221718.211829,7797,7827.280425
232347.756521,7797,7874.819883
241145.707231,7797,7922.29198
232418.509824,7797,7969.805538
255462.179878,7797,8017.308195
247346.612701,7797,8061.746279
248662.101388,7797,8109.247523
251811.35311,7797,8156.793234
233209.811567,7797,8204.317138
257892.38659,7797,8251.956794
248882.031142,7797,8296.70924
250285.720421,7797,8344.302453
243291.734361,7797,8391.838934
264071.709363,7797,8439.358391
284109.080394,7797,8487.031032
276577.66983,7797,8531.556165
260182.838752,7797,8579.223532
257787.974231,7797,8626.609379
247871.483301,7797,8674.089157
260197.797164,7797,8721.633597
260239.527135,7797,8766.271878
266825.021587,7797,8813.839452
275711.3691,7797,8861.617882
264356.346096,7797,8909.206756
243462.397182,7797,8956.847853
262983.385223,7797,9001.859949
281534.814625,7797,9049.718049
289438.747785,7797,9097.426843
294179.320584,7797,9144.938454
304684.064574,7797,9192.590778
293080.53962,7797,9240.385074
277453.882149,7797,9285.277016
297282.367112,7797,9332.905807
292918.389286,7797,9380.611068
287926.988978,7797,9428.185547
283154.852013,7797,9475.792506
292733.040438,7797,9520.683034
266561.207907,7797,9568.409462
274427.346976,7797,9616.056435
278458.46308,7797,9663.636106
265177.637312,7797,9711.237472
268109.901362,7797,9755.81979
250673.357643,7797,9803.396336
245993.278083,7797,9851.022994
263099.608177,7797,9898.633939
254147.476571,7797,9946.331676
256622.443214,7797,9991.056662
268424.102884,7797,10038.75152
272219.51306,7797,10086.362368
278595.77906,7797,10134.096198
277841.303729,7797,10181.831322
269495.795016,7797,10226.884263
254179.898756,7797,10274.570201
280885.328891,7797,10322.025391
254139.896216,7797,10369.551329
253806.800234,7797,10417.146451
263847.885124,7797,10461.677324
272513.050771,7797,10509.240894
246190.048882,7797,10556.748323
263174.057529,7797,10604.217257
244485.908022,7797,10651.639375
250413.564645,7797,10699.192174
245389.627501,7797,10743.823939
231581.173169,7797,10791.426186
231146.636353,7797,10839.316658
239922.217838,7797,10886.862275
243994.037952,7797,10934.443607
240399.305485,7797,10979.144236
237714.185283,7797,11027.000693
254083.959901,7797,11074.54536
252186.270084,7797,11122.230695
234667.377319,7797,11169.878954
244360.623038,7797,11214.474925
228442.145621,7797,11261.98034
252159.952765,7797,11309.395816
248880.506555,7797,11356.764296
256173.648764,7797,11404.218995
265502.46581,7797,11448.805638
269579.973664,7797,11496.349843
260996.536859,7797,11543.812881
262684.702461,7797,11591.250055
264459.542427,7797,11638.784881
255751.473717,7797,11683.344145
277776.722222,7797,11730.985359
273610.469469,7797,11778.493411
272930.662073,7797,11826.066942
271889.289597,7797,11873.761421
291172.113885,7797,11921.444397
266157.114039,7797,11965.904027
294176.390068,7797,12013.267919
287530.915242,7797,12060.798632
310776.324416,7797,12108.403902
273545.940912,7797,12155.768023
296309.332622,7797,12200.333353
300521.578897,7797,12247.80155
298232.841613,7797,12295.274425
279752.530783,7797,12342.803583
279095.707947,7797,12390.279629
310713.136146,7797,12434.845944
299535.181216,7797,12482.407843
277080.621374,7797,12529.946591
273760.680008,7797,12577.496084
279161.738055,7797,12625.117985
282721.254747,7797,12669.393437
261486.846264,7797,12716.894014
267758.041684,7797,12764.213659
252757.507499,7797,12811.688644
284882.01116,7797,12859.151544
287579.05667,7797,12903.739205
264830.448458,7797,12951.165787
264901.927916,7797,12998.698812
282565.507872,7797,13046.05318
269184.535564,7797,13093.308658
258273.399929,7797,13137.749846
265168.055315,7797,13185.08575
256921.495478,7797,13232.344618
223430.324637,7797,13279.682682
233118.082363,7797,13327.018422
246953.508082,7797,13374.303406
234593.428576,7797,13418.588354
246221.418329,7797,13465.940187
230175.531504,7797,13513.322572
223388.659358,7797,13560.67662
227062.81769,7797,13608.000453
209604.524655,7797,13652.697488
224933.790357,7797,13701.605628
218422.280072,7797,13750.310547
233962.134823,7797,13797.66094
209988.664116,7797,13845.121895
207875.738777,7797,13889.647481
189590.164023,7797,13936.987102
209430.798327,7797,13984.160141
165726.513191,7797,14031.431185
183667.247705,7797,14078.599877
167049.637069,7797,14122.884883
161132.016158,7797,14170.24519
167931.778626,7797,14217.768004
176413.925708,7797,14265.039903
161048.011144,7797,14312.301102
169586.290527,7797,14356.633624
153981.54097,7797,14404.676796
165001.30919,7797,14451.957711
143924.575006,7797,14499.204208
147740.401236,7797,14546.379905
133913.595812,7797,14593.604357
136328.173766,7797,14637.869199
132923.355838,7797,14685.004604
117661.063163,7797,14732.499375
122122.156518,7797,14780.343444
137067.891311,7797,14827.776728
135882.286702,7797,14872.464097
133898.986863,7797,14920.272647
150383.430447,7797,14967.77124
122729.663482,7797,15014.822774
125595.434715,7797,15061.944897
127802.085227,7797,15106.156176
147244.861673,7797,15153.340875
135799.88239,7797,15200.494647
143506.093388,7797,15247.719822
149548.429906,7797,15295.169016
146027.164267,7797,15340.209751
147644.857889,7797,15387.470592
137509.927202,7797,15434.737789
141297.433546,7797,15481.822572
137762.256459,7797,15529.188734
141629.368228,7797,15573.489991
120546.655219,7797,15620.540648
107413.238102,7797,15667.867374
119575.80869,7797,15716.21478
112743.274192,7797,15763.317392
116856.400896,7797,15810.362269
121234.056588,7797,15854.625527
114346.262008,7797,15901.747966
123234.635029,7797,15948.73658
112551.729975,7797,15995.723505
109208.643751,7797,16043.293436
114612.39895,7797,16087.442668
113365.81432,7797,16134.590897
85261.341793,7797,16182.119955
85815.718943,7797,16229.31945
64881.145971,7797,16276.651409
63057.19789,7797,16321.269632
71913.093897,7797,16368.584586
64601.964901,7797,16416.073162
96651.499763,7797,16464.817045
83713.65686,7797,16512.66635
84986.571053,7797,16556.778998
91738.80699,7797,16604.11355
85286.722796,7797,16651.374095
79023.90771,7797,16699.76228
85502.930153,7797,16747.017366
75709.733245,7797,16791.42034
78089.430431,7797,16838.601446
95404.91299,7797,16885.738794
86282.312628,7797,16933.020043
84748.394357,7797,16980.266667
74946.023495,7797,17024.874871
74604.69167,7797,17071.971045
75208.620434,7797,17119.787308
93718.793901,7797,17166.874997
82242.600198,7797,17214.028655
83772.769587,7797,17261.058009
90085.441057,7797,17305.374058
80385.443919,7797,17352.602608
72330.853853,7797,17399.660168
83634.324878,7797,17446.724649
81007.162941,7797,17493.933351
79817.280137,7797,17538.142583
79576.232205,7797,17585.27161
83411.206569,7797,17632.276622
75258.985878,7797,17679.219442
89012.870469,7797,17726.49415
85813.544686,7797,17770.528206
86615.638996,7797,17817.465715
84088.638548,7797,17864.378704
90654.234122,7797,17911.241356
84729.52654,7797,17958.063911
83655.012927,7797,18002.112891
