#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
215921.772721,7797,26669.250452
215898.798732,7797,26721.485502
215107.896322,7797,26772.283937
216371.490771,7797,26823.086231
215551.584388,7797,26876.317033
215307.276406,7797,26927.043412
215444.123376,7797,26977.909009
214744.702769,7797,27028.835607
215733.006475,7797,27080.368333
215480.75325,7797,27131.664912
215235.087248,7797,27182.466122
215832.689414,7797,27233.182487
215388.701633,7797,27287.330559
215334.98445,7797,27339.09576
215777.128497,7797,27389.87912
215057.289714,7797,27440.596592
215194.880464,7797,27492.073216
215899.579398,7797,27542.924167
215910.676865,7797,27594.151507
216084.000545,7797,27645.115224
215106.898667,7797,27695.962969
215285.249147,7797,27750.040669
214822.296692,7797,27800.968006
215233.890581,7797,27854.552328
215853.646914,7797,27906.085352
216211.145945,7797,27957.522383
215417.119156,7797,28009.060544
215337.512884,7797,28061.243984
215312.765013,7797,28113.693858
216038.219022,7797,28164.912311
215859.831909,7797,28216.562909
215219.985254,7797,28268.551789
215712.789929,7797,28320.460489
215313.255635,7797,28372.217106
214869.308881,7797,28424.259987
215514.6442,7797,28476.287708
215719.530324,7797,28528.107144
215140.842114,7797,28579.517537
215754.349044,7797,28633.809048
215339.484564,7797,28684.922897
215217.756066,7797,28736.06071
215787.928006,7797,28787.558738
215206.883352,7797,28838.940453
215573.860036,7797,28890.418468
215708.516125,7797,28941.960168
215703.07185,7797,28993.984529
215329.157987,7797,29045.883725
215357.762809,7797,29097.096236
215515.547355,7797,29148.028667
215057.712942,7797,29198.554108
215010.595805,7797,29248.939238
215372.577115,7797,29299.492072
215546.625733,7797,29350.006181
215839.48337,7797,29400.621718
215972.998964,7797,29451.345365
215156.217273,7797,29502.05657
215176.437898,7797,29552.667676
215592.503392,7797,29603.161736
215615.943183,7797,29659.967816
215232.143038,7797,29710.65276
215319.669858,7797,29761.423519
215268.741065,7797,29812.270584
215261.826979,7797,29863.250905
215252.2841,7797,29914.203759
215283.339671,7797,29965.060323
216067.567946,7797,30015.824881
215606.362733,7797,30066.747321
215222.181892,7797,30117.422639
215629.622815,7797,30168.401936
215485.607651,7797,30219.62879
215316.199271,7797,30270.437751
215746.303316,7797,30321.288397
215064.713276,7797,30372.25651
215994.606598,7797,30423.27165
