#{"t_start": 1684608732.1879709, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
143490.265757,7797,12135.641924
143243.116579,7797,12196.94556
143507.942245,7797,12259.405655
143646.629403,7797,12321.509273
144106.401347,7797,12381.204264
143635.918392,7797,12440.56646
143609.124977,7797,12506.13793
143207.905824,7797,12579.056792
143221.999203,7797,12645.208574
143542.44687,7797,12707.859171
143800.214287,7797,12768.483426
143844.12594,7797,12828.566502
143644.7428,7797,12888.542306
143770.318594,7797,12948.377836
143525.297956,7797,13008.370842
143813.118549,7797,13068.17832
143614.313894,7797,13128.245833
143780.360263,7797,13191.885897
143299.691387,7797,13258.325556
143630.429297,7797,13322.108785
144000.368256,7797,13385.967638
143400.283879,7797,13449.078509
143651.304518,7797,13512.359878
143341.350198,7797,13575.826297
143536.657034,7797,13639.681081
143503.608786,7797,13703.280506
143392.958249,7797,13767.639877
143595.493077,7797,13833.85072
143945.692163,7797,13895.661574
143708.976943,7797,13956.636798
143457.342321,7797,14017.136642
143947.044627,7797,14077.623764
144080.995501,7797,14138.373234
143499.211839,7797,14199.331092
143890.228266,7797,14259.357791
143700.15538,7797,14319.511464
143531.417569,7797,14382.64028
142893.059894,7797,14442.842541
143780.569612,7797,14503.030174
143682.606817,7797,14563.373585
143621.890982,7797,14624.142349
143917.190569,7797,14684.126888
143505.881918,7797,14745.007561
143164.768598,7797,14805.350648
143700.099641,7797,14865.415992
143116.137281,7797,14925.621068
143315.102643,7797,14989.595232
143749.514943,7797,15049.925409
143559.661844,7797,15110.245248
143926.44787,7797,15172.883453
143491.554574,7797,15233.830113
143019.56314,7797,15294.730667
143551.276383,7797,15355.63478
143511.670641,7797,15416.575219
143291.690983,7797,15477.444209
143592.207599,7797,15539.035674
143370.463287,7797,15604.259498
143974.475923,7797,15665.072299
143831.814323,7797,15725.839922
143266.076654,7797,15787.531276
143761.992635,7797,15848.440017
143475.50063,7797,15911.450404
143485.709717,7797,15973.632441
143498.49017,7797,16034.719885
143849.579109,7797,16096.160123
143363.971049,7797,16157.016893
142956.646693,7797,16221.163759
143750.729778,7797,16281.566074
143810.263226,7797,16343.003001
143804.226051,7797,16404.59615
143997.016588,7797,16465.930883
143450.469465,7797,16527.359689
143677.931355,7797,16587.960366
143713.403357,7797,16649.104342
143277.414904,7797,16709.866607
143740.696364,7797,16772.250826
143975.237307,7797,16835.442837
143412.405719,7797,16898.452977
143426.323093,7797,16960.326549
143839.139635,7797,17021.277881
143527.565654,7797,17082.13378
143645.906179,7797,17143.548732
143810.511135,7797,17204.55525
143943.060013,7797,17265.36422
143645.378318,7797,17326.074655
143064.619774,7797,17390.820499
143708.719246,7797,17451.579772
143564.481216,7797,17512.404944
143193.612731,7797,17573.379225
143291.281121,7797,17634.59894
143128.207288,7797,17695.975979
143618.95186,7797,17756.695159
143674.838432,7797,17817.051168
143243.604679,7797,17877.722754
143230.783042,7797,17938.958447
143686.864953,7797,18004.274507
143939.972211,7797,18065.374106
143596.466935,7797,18125.562864
143887.524306,7797,18186.09591
143291.174095,7797,18247.257929
143955.752375,7797,18312.026253
143695.667979,7797,18372.833951
144015.06473,7797,18433.909799
143495.450324,7797,18495.231194
143371.232461,7797,18555.96447
143338.984079,7797,18620.941201
143816.917414,7797,18682.28669
144131.31736,7797,18743.352912
143904.526705,7797,18803.820881
143791.287002,7797,18864.105636
143837.489558,7797,18923.373059
143554.811134,7797,18983.136986
