Dates,ETF-CONSUMER,ETF-CONSUMER-BASIS,ETF-ENERGY,ETF-FINANCIAL,ETF-HEALTH-CARE,ETF-INDUSTRIAL,ETF-MATERIALS,ETF-REAL-STATE,ETF-TECHNOLOGY,ETF-UTILITIES
04/02/2000,28.0625,22.7188,26.3125,18.3338,31.6406,27.1094,23.4219,35.0313,54.125,27.11
05/02/2000,28.0625,22.7188,26.3125,18.3338,31.6406,27.1094,23.4219,35.0313,54.125,27.11
06/02/2000,28.0625,22.7188,26.3125,18.3338,31.6406,27.1094,23.4219,35.0313,54.125,27.11
07/02/2000,27.4688,22.6875,26.6094,18.1435,31.125,26.6406,22.9688,35.0313,54.75,27.03
08/02/2000,28.0938,22.9688,26.375,18.3465,31.4688,26.75,22.9063,35.0313,55.25,27.09
09/02/2000,27.625,22.7656,25.5,17.9151,30.9063,26.4688,22.4531,35.0313,54.5625,27.09
10/02/2000,27.375,22,26.0313,17.4203,30.6406,26.0156,22.2656,35.0313,55.8594,26.7
11/02/2000,26.9844,21.5781,25.7188,17.4584,30.6563,25.4688,21.7188,35.0313,54.375,26.23
12/02/2000,26.9844,21.5781,25.7188,17.4584,30.6563,25.4688,21.7188,35.0313,54.375,26.23
13/02/2000,26.9844,21.5781,25.7188,17.4584,30.6563,25.4688,21.7188,35.0313,54.375,26.23
14/02/2000,27.125,21.6875,26.125,17.6106,30.0938,25.875,22.0781,35.0313,54.4063,26.27
15/02/2000,27.1875,22.1719,27.2188,17.636,29.8594,26.3281,23.0313,35.0313,54.5625,26.2
16/02/2000,26.125,21.8594,27.3438,17.268,29.0156,26.2656,22.5,35.0313,54.2813,26.09
17/02/2000,25.375,21.5313,27.3125,17.0524,29,26.375,22.4531,35.0313,55.5,25.94
18/02/2000,25,21.2813,26.5156,16.4433,28.2031,25.7969,21.7656,35.0313,53.625,24.98
19/02/2000,25,21.2813,26.5156,16.4433,28.2031,25.7969,21.7656,35.0313,53.625,24.98
20/02/2000,25,21.2813,26.5156,16.4433,28.2031,25.7969,21.7656,35.0313,53.625,24.98
21/02/2000,25,21.2813,26.5156,16.4433,28.2031,25.7969,21.7656,35.0313,53.625,24.98
22/02/2000,25.0625,21.625,26.2813,16.5956,28,26.2188,22.4531,35.0313,53.5,24.89
23/02/2000,24.9844,21.1563,25.5938,16.5322,28.4375,26.0156,22.2031,35.0313,55.125,24.38
24/02/2000,24.1875,20.7188,25.3125,16.1896,28.2188,25.7813,21.4063,35.0313,55.8125,23.56
25/02/2000,24.2813,20.2031,24.8125,16.0881,27.3438,25.3281,21.0625,35.0313,55.2813,23.44
26/02/2000,24.2813,20.2031,24.8125,16.0881,27.3438,25.3281,21.0625,35.0313,55.2813,23.44
27/02/2000,24.2813,20.2031,24.8125,16.0881,27.3438,25.3281,21.0625,35.0313,55.2813,23.44
28/02/2000,25.1563,20.5938,25.5625,16.6083,27.8281,25.4063,21.125,35.0313,54.625,24.11
29/02/2000,25.6875,20.5156,26.1563,16.7225,28.1406,25.6875,20.9844,35.0313,55.875,24.28
01/03/2000,25.3906,20.3281,26.8125,16.9509,28.375,25.5469,20.7656,35.0313,56.4375,25.34
02/03/2000,25.3594,20.375,27.3125,16.8494,28.25,25.6406,20.3125,35.0313,57,26
03/03/2000,25.8281,20.2656,26.875,17.0016,28.6406,26.3438,20.9688,35.0313,58.5781,26.23
04/03/2000,25.8281,20.2656,26.875,17.0016,28.6406,26.3438,20.9688,35.0313,58.5781,26.23
05/03/2000,25.8281,20.2656,26.875,17.0016,28.6406,26.3438,20.9688,35.0313,58.5781,26.23
06/03/2000,25.2188,19.7813,26.7188,16.8367,28.0781,26.2344,20.4688,35.0313,58.4844,25.5
07/03/2000,24.5156,18.7188,28.5625,16.3292,27.5625,25.1875,19.8125,35.0313,56.875,25.2
08/03/2000,24.8125,19.2969,28.0938,16.1388,27.4219,25.4531,20.2344,35.0313,57.875,25.38
09/03/2000,25.3125,19.8125,28.125,16.2277,28.0625,25.7188,20.2031,35.0313,59.625,25.58
10/03/2000,24.9688,19.5781,27.75,16.2784,27.8281,25.7813,20.375,35.0313,59.75,25.58
11/03/2000,24.9688,19.5781,27.75,16.2784,27.8281,25.7813,20.375,35.0313,59.75,25.58
12/03/2000,24.9688,19.5781,27.75,16.2784,27.8281,25.7813,20.375,35.0313,59.75,25.58
13/03/2000,24.7656,19.2656,27.3438,16.4433,27.625,25.3906,20.6875,35.0313,58.875,25.66
14/03/2000,24.8125,19.1563,27.6875,16.3799,27.7031,25.25,20.3281,35.0313,57.5313,25.48
15/03/2000,26.3125,20.375,27.5625,17.3822,27.8438,26.2656,21.5469,35.0313,56.5313,25.62
16/03/2000,28.2813,21.5,28.75,18.8667,29.2813,27.7344,22.9063,35.0313,58.5,26.84
17/03/2000,28.2656,21.0938,27.7813,18.816,29.3125,27.5938,22,35.0313,59.875,26.64
18/03/2000,28.2656,21.0938,27.7813,18.816,29.3125,27.5938,22,35.0313,59.875,26.64
19/03/2000,28.2656,21.0938,27.7813,18.816,29.3125,27.5938,22,35.0313,59.875,26.64
20/03/2000,28,20.9063,27.3438,18.4607,29.875,27.75,22.2656,35.0313,59.625,26.53
21/03/2000,28.3125,21.2969,28.2188,19.1332,30.0625,28.3438,22.5313,35.0313,61.1875,26.36
22/03/2000,28.1875,21.125,28,19.2981,30.8281,28.2188,21.9531,35.0313,62.25,25.75
23/03/2000,28.2656,20.9531,27.9688,19.9705,30.9531,28.875,22.625,35.0313,63.4375,26.19
24/03/2000,28.3594,20.5781,28.0313,20.1989,31.2188,29.0469,22.5156,35.0313,63.9844,25.94
25/03/2000,28.3594,20.5781,28.0313,20.1989,31.2188,29.0469,22.5156,35.0313,63.9844,25.94
26/03/2000,28.3594,20.5781,28.0313,20.1989,31.2188,29.0469,22.5156,35.0313,63.9844,25.94
27/03/2000,28.2813,20.3125,28.125,19.5392,31,28.6875,22.4219,35.0313,64.5,26.3
28/03/2000,28.375,20.5469,28,19.6914,31.0313,28.6094,22,35.0313,62.9375,26.17
29/03/2000,28.9375,21.0469,29.4688,19.5392,30.5625,28.9688,22.4531,35.0313,61.0938,26.64
30/03/2000,29.5781,21.3281,29.4688,19.5772,30.125,29.1563,23.0625,35.0313,59.4375,26.58
31/03/2000,29.2656,21.2188,29.3125,19.7041,30.6719,29.2031,23.0469,35.0313,60.5625,26.73
01/04/2000,29.2656,21.2188,29.3125,19.7041,30.6719,29.2031,23.0469,35.0313,60.5625,26.73
02/04/2000,29.2656,21.2188,29.3125,19.7041,30.6719,29.2031,23.0469,35.0313,60.5625,26.73
03/04/2000,30.1406,22.1875,29.8125,20.6557,30.6563,29.3281,23.7969,35.0313,58,26.91
04/04/2000,29.7656,22.8125,29.4375,19.831,30.3125,29,23.5781,35.0313,57.4375,27.28
05/04/2000,29.8125,22.5,28.5625,19.6787,30.1094,28.8906,23.3906,35.0313,57.8125,27.64
06/04/2000,30.125,22.0938,29.3125,19.8944,30.6875,29.1406,23.25,35.0313,58.5625,27.81
07/04/2000,30.125,21.8125,28.8594,19.4884,30.7656,29.5781,22.875,35.0313,60.5625,27.73
08/04/2000,30.125,21.8125,28.8594,19.4884,30.7656,29.5781,22.875,35.0313,60.5625,27.73
09/04/2000,30.125,21.8125,28.8594,19.4884,30.7656,29.5781,22.875,35.0313,60.5625,27.73
10/04/2000,30.8281,22.3594,28.4375,20.0467,30.5625,29.625,23.4375,35.0313,58.375,27.67
11/04/2000,31.0469,22.75,28.9375,20.3004,30.8281,29.9844,24,35.0313,56.9375,28.39
12/04/2000,30.9844,23.0156,29.1875,20.3892,30.2656,29.4531,24.625,35.0313,53.25,28.64
13/04/2000,30.4063,22.8594,29.125,19.8564,29.5,29.5313,23.9375,35.0313,52.2344,28.67
14/04/2000,28,21.7344,28.5,18.245,27.7188,27.5938,22.625,35.0313,49.5,27.62
15/04/2000,28,21.7344,28.5,18.245,27.7188,27.5938,22.625,35.0313,49.5,27.62
16/04/2000,28,21.7344,28.5,18.245,27.7188,27.5938,22.625,35.0313,49.5,27.62
17/04/2000,28.0313,22.3594,27.8125,18.3973,27.9531,28.2656,22.6563,35.0313,52.1875,27.2
18/04/2000,28.625,22.5,27.9531,19.1332,28.7188,28.375,22.2344,35.0313,55.1563,27.28
19/04/2000,28.8438,22.7656,28.5625,18.8794,29.4688,28.4844,21.9531,35.0313,53.3438,27.53
20/04/2000,29.2188,22.75,28.6094,19.2347,29.5938,28.7188,22.5,35.0313,52.875,27.62
21/04/2000,29.2188,22.75,28.6094,19.2347,29.5938,28.7188,22.5,35.0313,52.875,27.62
22/04/2000,29.2188,22.75,28.6094,19.2347,29.5938,28.7188,22.5,35.0313,52.875,27.62
23/04/2000,29.2188,22.75,28.6094,19.2347,29.5938,28.7188,22.5,35.0313,52.875,27.62
24/04/2000,29.5313,23.375,28.9219,19.6914,29.1719,28.75,22.5469,35.0313,51.25,28.38
25/04/2000,30.0625,23.2656,28.9688,20.3004,29.9063,30.25,22.5781,35.0313,54.2188,29.22
26/04/2000,30.0313,23,29.3438,19.8944,30.2188,29.7969,22.1875,35.0313,53.1875,29.16
27/04/2000,29.4063,23,29.75,19.4884,30.0313,29.8281,22.1094,35.0313,54.8438,28.5
28/04/2000,28.6563,22.3438,28.875,19.8944,30.3125,29.625,22.2813,35.0313,55,28.48
29/04/2000,28.6563,22.3438,28.875,19.8944,30.3125,29.625,22.2813,35.0313,55,28.48
30/04/2000,28.6563,22.3438,28.875,19.8944,30.3125,29.625,22.2813,35.0313,55,28.48
01/05/2000,29.5313,22.625,29.3438,19.4503,30.4063,30.3125,22.25,35.0313,55.7813,28.48
02/05/2000,29.3281,22.6875,29.7656,19.26,29.7969,30,22.9375,35.0313,54.75,27.45
03/05/2000,27.9375,22.6875,29,18.9175,28.9688,29,22.5625,35.0313,52.375,27.55
04/05/2000,27.4844,22.6875,29.75,18.6256,28.875,29.0469,22.7969,35.0313,52,27.5
05/05/2000,27.8281,23.2188,30.0625,18.7525,28.8438,29.5625,22.7813,35.0313,53.4219,27.56
06/05/2000,27.8281,23.2188,30.0625,18.7525,28.8438,29.5625,22.7813,35.0313,53.4219,27.56
07/05/2000,27.8281,23.2188,30.0625,18.7525,28.8438,29.5625,22.7813,35.0313,53.4219,27.56
08/05/2000,27.75,23.7031,30.4375,19.1205,28.9063,29.5469,22.6563,35.0313,51.5313,27.75
09/05/2000,28.0313,23.8125,30.4531,19.0697,28.7031,29.3125,23.0625,35.0313,50.5781,27.66
10/05/2000,28.0313,23.6563,30.5469,18.5622,28.6563,29.0156,22.7813,35.0313,48.125,28.19
11/05/2000,28.2813,23.625,31.5,19.1205,28.625,29.7344,23.0781,35.0313,49.4844,28.61
12/05/2000,28.6875,23.3125,31.6094,19.3362,29.125,30.0938,23.1563,35.0313,50.125,28.16
13/05/2000,28.6875,23.3125,31.6094,19.3362,29.125,30.0938,23.1563,35.0313,50.125,28.16
14/05/2000,28.6875,23.3125,31.6094,19.3362,29.125,30.0938,23.1563,35.0313,50.125,28.16
15/05/2000,28.7813,23.8906,32.2656,20.1989,29.6094,30.5938,23.5625,35.0313,51.0625,28.7
16/05/2000,29,23.7813,31.6406,20.0847,30,30.875,23.3125,35.0313,52.5938,28.58
17/05/2000,28.3125,23.8594,31.7969,19.7422,29.6563,30.6719,23.375,35.0313,51.8438,28.14
18/05/2000,28.875,23.8125,31.75,19.9959,29.625,30.5313,23.1875,35.0313,50.5313,28.38
19/05/2000,28.1406,23.9844,31.8125,19.6407,28.8438,29.6875,23.25,35.0313,48.5625,27.84
20/05/2000,28.1406,23.9844,31.8125,19.6407,28.8438,29.6875,23.25,35.0313,48.5625,27.84
21/05/2000,28.1406,23.9844,31.8125,19.6407,28.8438,29.6875,23.25,35.0313,48.5625,27.84
22/05/2000,27.7188,23.9063,31.5469,19.8944,28.5156,29.1719,23.125,35.0313,48.3438,28.03
23/05/2000,27.5938,23.7813,31.4219,20.0213,28.2813,29.0469,22.7969,35.0313,46,27.52
24/05/2000,27.0938,24.2969,31.4531,20.275,28.4688,29.4688,22.7031,35.0313,47.8125,27.98
25/05/2000,26.8438,24.2344,30.875,19.7675,28.25,28.9375,21.875,35.0313,47.0313,27.52
26/05/2000,26.2813,24.3125,30.8906,19.6914,28.0313,28.7813,21.5313,35.0313,47.1875,28.06
27/05/2000,26.2813,24.3125,30.8906,19.6914,28.0313,28.7813,21.5313,35.0313,47.1875,28.06
28/05/2000,26.2813,24.3125,30.8906,19.6914,28.0313,28.7813,21.5313,35.0313,47.1875,28.06
29/05/2000,26.2813,24.3125,30.8906,19.6914,28.0313,28.7813,21.5313,35.0313,47.1875,28.06
30/05/2000,26.4844,24.1719,31.3281,20.0974,29.1875,29.2969,21.7656,35.0313,50.25,28.27
31/05/2000,27.1094,23.9375,32.2656,20.3385,29.5,29.5,21.5781,35.0313,49.2813,28.42
01/06/2000,27.3125,24,31.9688,21.0109,29.3125,29.7344,21.6406,35.0313,51.5,28.62
02/06/2000,28.0625,23.1719,30.875,21.8737,30.0313,29.9531,22,35.0313,53.8438,28.53
03/06/2000,28.0625,23.1719,30.875,21.8737,30.0313,29.9531,22,35.0313,53.8438,28.53
04/06/2000,28.0625,23.1719,30.875,21.8737,30.0313,29.9531,22,35.0313,53.8438,28.53
05/06/2000,27.9063,23.1406,30.4375,21.3789,29.9375,29.9063,21.8125,35.0313,54,27.88
06/06/2000,27.0156,23.2188,31.625,20.9094,29.6875,29.6875,21.8438,35.0313,53.25,28.53
07/06/2000,27.0156,23.4688,31.2188,21.2139,29.6094,29.5469,21.375,35.0313,54.25,28.64
08/06/2000,26.75,23.4688,31.375,20.8587,29.375,29.0781,21.3438,35.0313,54,28.81
09/06/2000,26.3125,23.7344,31.1719,20.5034,29.8125,29.1875,21.3125,35.0313,54.125,29.17
10/06/2000,26.3125,23.7344,31.1719,20.5034,29.8125,29.1875,21.3125,35.0313,54.125,29.17
11/06/2000,26.3125,23.7344,31.1719,20.5034,29.8125,29.1875,21.3125,35.0313,54.125,29.17
12/06/2000,25.6563,23.7031,31.875,20.6811,29.5313,29.2188,21.4375,35.0313,52.8125,29.05
13/06/2000,26.1563,23.9688,31.875,20.6557,29.125,29.3438,20.8281,35.0313,54.125,29.67
14/06/2000,26.25,24.2813,31.8281,21.0109,29.625,29.2813,21.375,35.0313,53.125,29.55
15/06/2000,26.1875,24.7344,31.375,20.5161,30.4688,29.5625,21.375,35.0313,54.1875,29.39
16/06/2000,25.8438,24.2188,31.75,19.4884,30.125,28.9844,21.375,35.0313,54.375,28.84
17/06/2000,25.8438,24.2188,31.75,19.4884,30.125,28.9844,21.375,35.0313,54.375,28.84
18/06/2000,25.8438,24.2188,31.75,19.4884,30.125,28.9844,21.375,35.0313,54.375,28.84
19/06/2000,25.8125,24.2656,31.4844,19.9959,30.3125,28.6875,20.6875,35.0313,56.0938,29.31
20/06/2000,25.25,23.8438,31.3125,19.7422,30.2656,27.7969,20.3125,35.1797,56.25,29
21/06/2000,25.0781,24.3125,31.875,19.5899,30.125,27.9063,20.2188,35.3516,56.75,29.09
22/06/2000,24.9688,23.7813,31.0313,19.5772,30.0625,27.2969,20.2188,35.3672,55,28.91
23/06/2000,25.125,24.0625,31.4219,19.4377,29.5,27.5938,20.2344,35.3672,53.8281,29
24/06/2000,25.125,24.0625,31.4219,19.4377,29.5,27.5938,20.2344,35.3672,53.8281,29
25/06/2000,25.125,24.0625,31.4219,19.4377,29.5,27.5938,20.2344,35.3672,53.8281,29
26/06/2000,25.125,24.375,31.1719,19.7422,29.2188,28.25,19.7656,34.875,54.1875,28.91
27/06/2000,25.8438,24.75,30.9531,19.9325,29.1563,28.375,20.5625,35.375,53.6563,28.12
28/06/2000,25.75,24.75,30.6875,19.7802,29.0313,28.7344,20.5156,35.375,54.1875,28.36
29/06/2000,25.3125,24.9688,30.75,19.7675,29.4688,28.2344,20.1406,35.375,53.125,27.91
30/06/2000,25.5938,25.2344,30.3438,19.2854,29.5625,28.2813,19.6406,35.375,54.1875,27.25
01/07/2000,25.5938,25.2344,30.3438,19.2854,29.5625,28.2813,19.6406,35.375,54.1875,27.25
02/07/2000,25.5938,25.2344,30.3438,19.2854,29.5625,28.2813,19.6406,35.375,54.1875,27.25
03/07/2000,25.9375,25.2813,30.5313,19.6407,29.5,28.6563,20.1875,35.5781,54.5625,28.06
04/07/2000,25.9375,25.2813,30.5313,19.6407,29.5,28.6563,20.1875,35.5781,54.5625,28.06
05/07/2000,26.25,25.3438,29.2656,19.8564,29.6875,28.4063,20.2813,35.9063,52.8125,28.31
06/07/2000,26.4375,25.375,29.5625,20.0086,29.625,28.3281,19.75,36.0156,53.625,28.34
07/07/2000,27.7188,25.2031,29.7031,20.3512,29.875,28.4688,19.6563,36.2813,54.5,28.64
08/07/2000,27.7188,25.2031,29.7031,20.3512,29.875,28.4688,19.6563,36.2813,54.5,28.64
09/07/2000,27.7188,25.2031,29.7031,20.3512,29.875,28.4688,19.6563,36.2813,54.5,28.64
10/07/2000,28.125,25.4375,29.8438,20.4019,29.625,28.5,19.9375,36.25,53.9063,28.64
11/07/2000,28.3281,25.4531,30.9063,20.5034,29.2969,29.0469,21,36.2344,53.4688,28.38
12/07/2000,28.4063,24.9375,30.5,20.7952,29.8438,29.1563,20.8906,36.0625,54.8438,28.5
13/07/2000,27.875,24.5625,30.0313,20.5922,29.9375,29.3906,21.125,36.0313,55.9063,28.62
14/07/2000,28.2188,24.2813,30,20.9348,30.4063,29.6875,20.7031,35.9531,56.9375,28.23
15/07/2000,28.2188,24.2813,30,20.9348,30.4063,29.6875,20.7031,35.9531,56.9375,28.23
16/07/2000,28.2188,24.2813,30,20.9348,30.4063,29.6875,20.7031,35.9531,56.9375,28.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
